"[0.536273371685907, -0.222528704573948, 0.943559520352759]","['0.5611160150579101', ' -0.2506602754165867', ' 0.94212987847526']","['0.5129352132453863', ' -0.21770687728532168', ' 0.9718829270504449']","[0.579291370883189, 0.02816149660651021, 0.8478606749656971]","[-0.40947634545424194, 0.17415447903498635, 0.8158536099565327]","[0.5730205167255242, -0.22632370252681175, -0.11919566248843882]","[0.42996260768937056, -0.927831878110968, 1.1004029248552796]"
"[0.536273371685907, -0.222528704573948, 0.943559520352759]","['0.5611160150579101', ' -0.2506602754165867', ' 0.94212987847526']","['0.5129352132453863', ' -0.21770687728532168', ' 0.9718829270504449']","[0.4798702762587795, -0.10882944439168002, 0.6784780849041947]","[-0.5080116656608793, -0.24775947689147026, 0.7476714003230389]","[0.5581126296159719, -0.939628205096539, 0.12743221262821158]","[0.6139128179019933, -0.6477838629475334, 1.5100793906685315]"
"[0.611302881817773, -0.237885372862401, 0.155301899958122]","['0.6008055080441155', ' -0.24357867802384614', ' 0.1298630709149812']","['0.6209230618418282', ' -0.231023469076721', ' 0.19387512907145737']","[0.5893293104382932, -0.27096966279687096, -0.15023138892840474]","[-0.26740457739622203, 0.24478676978899727, -0.15176360374842446]","[0.07689373901949059, -1.1218429893475756, -0.03436781696023723]","[0.6477829722623508, -0.17092025294935548, 0.8430325664271302]"
"[0.611302881817773, -0.237885372862401, 0.155301899958122]","['0.6008055080441155', ' -0.24357867802384614', ' 0.1298630709149812']","['0.6209230618418282', ' -0.231023469076721', ' 0.19387512907145737']","[0.6325741061251122, -0.29395316371769015, -0.1437638749277471]","[-0.3641471617757981, -0.3491292591012418, -0.20294421467184673]","[0.6746222429299047, -1.2720711053410212, 0.059993938335409946]","[0.5634461934902922, -0.09335184075903333, 0.8334671320107297]"
"[0.611302881817773, -0.237885372862401, 0.155301899958122]","['0.6008055080441155', ' -0.24357867802384614', ' 0.1298630709149812']","['0.6209230618418282', ' -0.231023469076721', ' 0.19387512907145737']","[0.5869489964490856, -0.2350905501050147, 0.00011789605410192361]","[-0.3975409078794774, -0.3992309286544396, 0.06206597435188926]","[0.7496926665988257, -1.221389696434014, -0.026872690765754083]","[0.6524785783287975, -0.2515808527201611, 0.9978322558877827]"
"[0.414863779044712, -0.471889362998413, 0.545791193694974]","['0.4123213147957946', ' -0.4837221106618077', ' 0.5225085830766696']","['0.41886371121280674', ' -0.46412646035777816', ' 0.5692254511866953']","[0.3166056785724898, -0.5103818312801073, 0.4101393566674971]","[-0.039070245080620514, 0.4241434845359263, 0.3976065424404862]","[-0.5027129801955299, -0.8157026166948634, 0.8954188157303025]","[0.7662850896289439, -0.32751124290499883, 1.2844086373695367]"
"[0.371481305336805, -0.762966166018556, 0.439506103990119]","['0.3559930179830976', ' -0.7678154947944396', ' 0.41818116562476815']","['0.3881925717954184', ' -0.7574383922635683', ' 0.4709517425258677']","[0.18682976448379968, -0.7770685282264486, 0.18977278472957362]","[-0.5385987674351467, -0.23771848480830082, 0.6173882378445943]","[-0.24919532476475847, -1.617877634557578, 0.5105876351595912]","[0.7194042349794378, -0.7307913483697441, 1.0348898511770577]"
"[0.821886519421227, -0.08450356629661, 0.525505440253533]","['0.8141136229125732', ' -0.08308143620603935', ' 0.49495787919997686']","['0.8303484796719113', ' -0.08200410899067755', ' 0.5636668931617824']","[0.7931104952905612, -0.11136588154401446, 0.3697278162557224]","[-0.18791031201921948, -0.059292457057000175, 0.5565071890126236]","[0.777454001829615, -1.0927577987243136, 0.5611038312254266]","[0.9863798664743408, 0.07345366113308548, 1.3333089943652028]"
"[0.821815655642033, -0.0180759054254154, 0.291397818260578]","['0.8325845665130683', ' -0.0202445733566404', ' 0.27176366910598165']","['0.8011924004071657', ' 0.015223667921886244', ' 0.3188631131112209']","[0.8443395698066976, -0.08132467831953179, -0.004495946726087663]","[0.8792983495303773, -1.0442988995295002, 0.26282134228696036]","[1.8395422944849655, -0.023324728368176187, 0.07429201300502529]","[0.7529644062600178, 0.1819558851307435, 0.9558862294913401]"
"[-0.823812269978231, -0.468901645382944, 0.109244581306868]","['-0.8406460086369565', ' -0.4863844228775339', ' 0.0882912181299504']","['-0.8431527813652462', ' -0.4760125244557263', ' 0.15973882916065169']","[-0.7065856337898985, -0.48355955534727196, -0.14431893853292646]","[-1.2807612073123391, 0.27679969579576885, -0.44792430734476274]","[-1.3892750299726382, -1.132892433433838, -0.4794338468486614]","[-1.1585343024568424, -0.4687061841133887, 0.7476013371942072]"
"[-0.704230332583729, -0.501893139558703, 0.111846095205271]","['-0.7120026440499181', ' -0.5171061482700507', ' 0.09137931304494115']","['-0.7018691455057053', ' -0.4971959610582479', ' 0.15853594339308036']","[-0.443214013973567, -0.4703392514503779, -0.017814006864325438]","[-0.8842225992871668, 0.06286763814364471, -0.7397571075094982]","[-0.6154873387913111, -1.310063489115207, -0.5327752735965551]","[-1.3240280290959074, -0.5730700529058828, 0.4443689149278717]"
"[-0.484703501291988, -0.696204822173411, 0.140120571027806]","['-0.48471624147999387', ' -0.7192928925903895', ' 0.10157204029407771']","['-0.4912283083381075', ' -0.6928422178020675', ' 0.16814085287531427']","[-0.3645358374958003, -0.49468080693298566, -0.09407370283824776]","[-0.4840863886876027, -1.1505037287002668, -0.8394621659863989]","[0.5487940620856127, -0.8616972183937032, 0.08235602325433439]","[-0.7538122948372925, -1.1543741061282433, 0.5487859947292182]"
