"[0.0028727595261665018, -0.028479469551299763, 0.2702499977761966]","[-0.025752097515756023, -0.020093641499029147, 0.2930728269366683]","[0.025746180978089006, -0.05695053298643127, 0.2762782780213535]","[0.5958107567452577, 0.8307283747771208, -0.1006935743279464]","[0.6278178217544221, 1.7977847122312567, -0.35323582421752897]"
"[-0.02158149415383359, -0.04719771544558754, 0.2892812007822725]","[-0.042313694540513314, -0.02109449611637465, 0.3065839141954453]","[0.0027637449186687646, -0.06863721237027426, 0.30710793157840466]","[0.4119893540002267, 0.24591100086671142, -0.6872004027514473]","[0.3427960385813825, 0.7969568731426946, -1.518801708515784]"
"[-0.0022302105195535216, -0.0040104012334910705, 0.30806970240586756]","[0.003865864316778378, 0.003265674396771154, 0.2816190086927738]","[-0.006992176209283829, -0.010309502474444399, 0.3476319646998147]","[0.6444225512091944, 0.08883878891298332, 0.14188132221962516]","[0.6459547660292142, -0.027024783055184187, -0.8513826331359098]"
"[0.00040906572166132804, 0.005201660780172979, 0.30497405668904737]","[0.012691634313071631, 0.00514562951938774, 0.27969802115761033]","[-0.011840962171095648, 0.00675401703407652, 0.343380496229529]","[0.6057728823375705, -0.2848264132012154, 0.24318643732993694]","[0.6649532220816702, -0.4885842264643724, -0.7340445696085399]"
"[-0.013904060186861633, 0.0025314646566329535, 0.15647129650990832]","[-0.004210886993703866, 0.007124994466182477, 0.13049660728698242]","[-0.022111808366007124, -0.0037119158740647196, 0.19547361260607965]","[0.5392502060382861, -0.3273886606677378, -0.04245686322136325]","[0.4773021277404988, -0.3003980738478818, -1.040171223055044]"
"[-0.0006759538373869445, -0.026428195646744146, 0.16982001905848093]","[-0.01053786613080454, -0.03203089612457388, 0.14615759246696586]","[0.004862298440373003, -0.02070342643808651, 0.19352616421456076]","[0.5947139595881974, -0.09546144680548288, -0.40760946963673755]","[0.6072467738152083, -0.5807409058682883, -1.281878750338777]"
"[-0.019555560054925425, -0.0122519416795277, 0.3100472043159572]","[-0.020054273365557762, -0.00826265692157313, 0.2835520552662275]","[-0.015250343562790036, -0.014098047816010317, 0.34577825377363125]","[0.4734938108750206, -0.6327857575914965, -0.22392044197329153]","[0.04587835775999993, -0.953600608021514, -1.0690375084207755]"
"[0.002264981220621798, 0.0029991102079643117, 0.16063059136308233]","[0.004258755319722529, -0.004120930966213576, 0.12995611110718797]","[0.0012215496830462191, 0.007716865168288151, 0.19949963540763815]","[0.7147995715877956, -0.16763328281210116, -0.4889641401748004]","[0.5280201988308943, -0.35900929778180546, -1.4525453182842807]"
"[0.017403172718103932, 0.004565430955706495, 0.3028813968526712]","[0.014619464489158296, 0.013609963211959286, 0.2824701308524724]","[-0.00804247366816116, -0.01186358071352811, 0.3399101602452672]","[-0.10662880551239638, -0.8352179866833508, 0.10288070051135664]","[-0.3739460945254444, -0.9140059464144638, -0.857501475706071]"
"[0.0014707025511526695, -0.01446139709125216, 0.2793565860656861]","[0.004204586051542891, 0.015404744396619319, 0.2680161641946907]","[-0.008161595660264295, -0.01356188271652281, 0.3330287273800991]","[-0.08184123469694055, -0.8447330653380144, -0.1834369594523338]","[0.2217641341148957, -0.5096181570222794, -1.0753572351794674]"
"[0.004678470763099414, 0.004692783269395262, 0.29307507263627497]","[0.014770297964133462, 0.029346077417135685, 0.29202448090451105]","[-0.027565678841104495, -0.023701784280852678, 0.3120920115071705]","[0.042466244675646504, -0.4804827447014891, -0.430474113722646]","[0.7644093453208193, 0.03447852203074053, -0.8926570355148431]"
"[-0.02803553095159983, 0.005528732179429702, 0.3302765450001786]","[0.015841308023963274, 0.007189690218166289, 0.32073125299170574]","[-0.050346754519670134, 0.003278910477069491, 0.3486113211145531]","[-0.43812492522803265, 0.16798290289909612, -0.40776664081292496]","[0.30726353792011846, -0.008446823193486025, -1.0506263383803909]"
